,Title,Date,Time,Score,Comments
259,Attorney for United Airlines passenger Dao says there will probably be a lawsuit,13-04-2017,20:09:50,145,147
260,Satellite photos show North Korean nuclear site primed and ready,13-04-2017,11:37:42,688,348
261,North Korea: Photos of new Ryomyong street complex that is scarier than hundreds of nuclear bombs,14-04-2017,09:02:26,15,8
262,Dozens of Passengers Stuck on Six Flags Coaster,14-04-2017,02:31:50,38,8
263,Nurses grant dying man final wish  a cigarette and glass of wine,14-04-2017,02:06:28,44,20
264,Top boarding school acknowledges sexual abuse dating back decades,14-04-2017,18:40:34,1,0
265,Nigerias anti-corruption unit finds $43 million cash in Lagos apartment,14-04-2017,10:59:09,8,2
266,The legal battle to stop Arkansas 7 executions in 10 days.,14-04-2017,08:49:08,12,0
267,Delaware airmen charged with sexually abusing runaway girl,14-04-2017,07:05:36,14,1
268,Charlie Murphy dead at 57 after battle with leukaemia.,12-04-2017,21:19:03,39282,1067
269,"Sexual Abuse at Choate Went on for Decades, School Acknowledges",14-04-2017,05:18:44,19,10
270,Pakistan: Mardan university student lynched by mob over alleged blasphemy: police,13-04-2017,19:58:56,98,28
271,Alabama Real Estate Investor Sentenced for Bid Rigging and Fraud at Public Foreclosure Auctions,14-04-2017,02:30:58,28,0
272,Man dies after slashing own throat in Glasgow city centre,14-04-2017,02:09:59,32,6
273,Governor Doug Ducey signed into law on Wednesday sweeping reforms that will make it tougher for law enforcement agencies to seize cash and property in investigations.,13-04-2017,04:25:30,1539,91
274,A Samsung Group building evacuated on report of explosives: media,14-04-2017,07:38:51,10,6
275,Target recalls Easter toys due to serious ingestion hazard,14-04-2017,12:21:27,2,3
276,"Parents protest bullying at area h.s., after recent suicide",14-04-2017,05:45:52,13,2
277,"15-year-old boy arrested for reportedly starting Clarksville fire that caused $500,000 in damage",14-04-2017,08:22:03,8,4
278,"European Court finds Russian security forces violated human rights laws when they used flamethrowers, tank cannon, and grenade launchers in a failed attempt to rescue over 1,000 hostages in the 2004 Beslan school siege which left over 330 dead, most of whom were children.",13-04-2017,21:14:33,62,12
279,MARTA: 4 people shot at West Lake station; Suspect detained,14-04-2017,01:32:58,29,6
280,Mexican authorities arrest suspect in killing of U.S. Border Patrol Agent Brian Terry,14-04-2017,00:24:27,33,5
281,Huddersfield child sex inquiry sees 29 in court - BBC News,13-04-2017,16:07:53,146,52
282,"1 killed, 3 injured in Atlanta transit train shooting",14-04-2017,06:40:40,12,2
283,Parole board grants White Boy Rick Wershe public hearing for potential release,14-04-2017,18:57:36,1,0
284,"Pair of Airmen stationed at Dover base charged with trafficking, sexually abusing child in dorms",14-04-2017,18:56:59,1,0
285,Korean president refuses to go jail until they put up new wallpaper,14-04-2017,18:56:07,1,0
286,North Korean Official: Situation in a Vicious Cycle,14-04-2017,07:38:00,9,6
287,U.S. may launch strike if North Korea reaches for nuclear trigger,14-04-2017,18:51:51,0,0
288,Legendary flight director praises SpaceX for taking risks,14-04-2017,03:25:23,18,0
